KO-1	KO-2	KO-3	N-1	N-2	N-3	OT1-2	OT1-3	OT1-4	SV40-3	SV40-4	SV40-5	WT-2	WT-3	WT-5
RP23-183D11.8	33	62	72	152	61	207	23	167	33	74	168	156	57	19	49
Gm10563	0	0	8	0	0	0	0	0	1	2	0	2	0	0	0
RP23-183D11.9	0	0	0	3	0	7	1	1	0	0	0	0	0	1	0
Cdk11b	270	575	711	624	692	833	486	1509	613	493	559	960	367	426	753
Mmp23	0	30	0	18	28	9	0	10	25	452	554	369	16	31	436
Mib2	1050	2767	1355	1777	1900	2246	2433	2431	1864	5371	3009	1995	991	616	1438
RP23-183D11.6	0	20	5	47	20	18	0	18	16	30	32	25	13	2	3
Ssu72	6460	4344	7234	6136	7473	4630	4474	4132	3693	4991	5664	4522	5392	5527	3660
Gm22573	1	0	0	5	6	9	0	1	2	1	0	6	0	0	0
RP23-242K15.24	14	56	0	219	164	94	158	90	89	184	71	98	68	50	54
Tmem240	10	5	3	0	3	6	3	6	4	9	12	8	2	2	6
Atad3a	964	1985	1624	626	393	533	205	486	482	1528	563	242	1725	1313	420
Atad3aos	75	40	52	95	135	128	80	69	69	178	99	244	52	46	99
Vwa1	0	6	0	0	0	19	0	2	0	7	5	16	14	0	28
Gm26840	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0
Tmem88b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl20	6402	3055	6513	3549	5194	2395	2497	1872	2890	1832	3109	2625	4461	4519	1735
Ccnl2	714	1069	1076	678	558	648	756	1238	576	2345	771	359	1764	1026	855
Aurkaip1	8928	4817	8861	7072	8690	4702	6569	4858	6779	5340	7091	7525	6214	6294	4002
Mxra8os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mxra8	196	133	80	46	137	51	36	143	210	289	426	613	84	153	236
Dvl1	185	111	274	225	43	84	110	226	301	225	301	344	98	138	202
Tas1r3	58	123	94	458	177	274	100	123	109	219	393	230	26	30	193
Cptp	1823	2113	2012	2935	2342	2462	2622	1887	2580	3262	3876	3128	2757	2167	3271
Ints11	4999	7564	6269	5293	3397	3801	4201	3712	3174	6850	4495	2705	7901	7005	5415
Pusl1	2172	2164	2881	1560	1350	1179	992	728	1085	393	525	392	1275	1291	466
Acap3	593	813	646	554	350	206	1252	522	445	510	444	403	1016	502	552
Gm22991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2j2	148	133	348	63	116	50	118	121	122	227	116	116	169	195	124
Fam132a	66	120	84	76	20	18	12	41	31	293	229	154	229	126	125
B3galt6	40	37	105	43	28	59	39	11	29	54	122	14	39	53	34
Sdf4	29360	24817	31333	45533	41133	39351	31375	23431	36018	42594	54083	47172	29240	26109	28459
Tnfrsf4	1493	911	325	51	109	10	41	54	54	365	1406	761	4442	3905	668
RP23-118E21.11	55	85	3	1	2	0	21	81	1	55	7	29	0	70	48
RP23-118E21.9	40	77	33	5	18	28	117	90	112	151	179	94	70	44	87
Gm25982	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0
Tnfrsf18	11764	5520	9857	7007	8359	5272	10014	7286	10565	14197	22183	20547	10170	10955	13648
Ttll10	0	1	0	15	0	0	0	0	0	1	0	0	0	0	0
RP23-118E21.8	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0
Mir429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir200a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir200b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-139J18.1	1091	1734	841	1376	535	1270	1310	1077	604	2185	1752	1026	1949	1405	1672
Rnf223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrn	58	515	53	5	130	385	2	34	204	51	98	94	45	19	48
Isg15	1944	1077	1204	2957	3634	2267	1225	1623	2071	424	1187	767	845	981	2049
AW011738	300	546	185	1447	979	1293	910	1275	790	715	1318	792	232	228	557
Perm1	14	123	5	400	18	272	85	165	93	199	183	20	64	18	82
Plekhn1	189	172	147	38	229	238	161	106	108	449	304	324	107	152	146
Mir7658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noc2l	856	817	1370	738	446	514	414	319	476	563	475	530	855	831	379
Samd11	47	0	1	0	0	0	0	0	70	47	1	28	25	0	55
CAAA01066804.1	0	0	0	0	0	0	0	0	9	4	0	5	1	0	8
Vmn2r-ps159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Vmn2r125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1rg10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-128P4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481N17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-135F23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC026478.1	75	75	108	101	61	148	74	44	88	71	83	70	60	59	39
RP23-135F23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk6	329	254	311	167	157	46	148	270	359	1321	2866	3066	353	790	1596
RP23-454P8.1	0	2	0	0	0	2	0	1	0	6	0	30	1	0	5
RP23-454P8.3	0	2	1	0	0	0	0	0	0	3	79	0	0	6	4
Fam133b	92	54	101	269	371	530	59	182	283	89	391	173	63	110	102
RP23-434H17.4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
n-R5s169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC090443.3	0	5	0	22	12	13	31	18	15	1	49	5	2	0	1
Rbm48	154	342	328	1247	964	1386	509	905	679	335	822	607	304	356	237
RP23-434H17.3	0	0	0	4	0	28	1	0	0	0	0	0	0	0	0
Pex1	150	366	442	224	309	799	273	635	733	222	648	544	271	310	410
RP23-434H17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-434H17.6	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0
Gatad1	282	111	224	196	258	124	180	145	145	127	234	194	169	231	120
Tmbim7	7	10	0	1	0	18	0	0	0	0	0	0	0	0	0
Gm26238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankib1	34	18	135	154	113	373	183	259	131	13	24	194	40	107	7
Gm22926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-425I8.2	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0
Krit1	155	77	151	394	1087	1133	236	263	682	35	177	370	205	223	278
Lrrd1	0	0	0	8	6	0	0	0	0	0	5	0	0	0	0
Rps4x-ps	37	16	33	43	50	34	19	16	15	10	16	14	20	22	18
Mterf1a	155	153	79	179	116	130	198	165	132	125	182	85	121	119	121
Akap9	58	79	63	135	159	34	34	123	186	23	100	51	3	51	31
Wdr46-ps	3	0	1	0	0	0	0	21	2	0	6	0	0	0	8
RP23-369O21.1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Cyp51	1141	3164	2021	2285	2298	2713	875	1423	802	558	1149	1169	2134	2740	1217
Mterf1b	78	64	100	18	49	54	72	67	18	34	7	59	53	18	22
Fzd1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
AC026231.3	0	1	1	1	1	0	2	0	1	1	3	3	0	4	1
RP23-114F4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm44483	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cdk14	6	21	0	8	25	0	4	0	0	38	178	249	88	43	168
RP23-114F4.2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
RP23-114F4.3	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
Gm25037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-114F4.4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-282L6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-282L6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-407F12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-396K2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-396K2.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700015F17Rik	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0
Cldn12	107	136	4	113	178	99	305	356	231	326	603	295	54	182	196
Gtpbp10	33	56	18	110	98	281	57	113	39	113	221	71	61	76	23
RP23-119M19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-119M19.1	0	0	0	35	0	0	13	0	0	0	0	0	0	3	23
Cfap69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steap2	0	1	0	0	0	0	0	28	17	0	46	0	0	0	0
RP23-261D18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steap1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
Gm26825	84	89	143	97	103	84	46	19	83	44	91	77	67	78	71
AC092404.2	101	70	172	198	281	99	15	8	7	44	109	105	64	74	73
RP23-261D18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-323L24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-323L24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-338C23.1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
RP24-338C23.2	0	0	0	0	0	0	0	0	16	2	0	0	0	1	1
RP23-189N11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-74J16.1	0	0	2	4	2	0	1	0	0	0	0	0	0	0	0
Zfp804b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubb4b-ps1	30	49	49	79	31	70	35	25	38	33	52	53	70	106	54
RP24-72E12.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-72E12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-72E12.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC112938.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-72E12.1	1	4	1	0	1	1	1	0	2	1	2	3	4	6	4
RP23-465J5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC133514.1	10	2	8	6	4	6	8	7	4	12	6	8	8	10	6
Gm22196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-212F6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steap4	204	686	0	0	0	0	2	14	21	0	80	0	1	61	0
AC140364.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sri	22562	12344	23791	22042	26358	17433	16545	13851	19807	18154	31426	28984	16405	17398	17364
AC140364.3	8	7	17	5	6	8	7	3	2	2	6	4	10	8	6
Adam22	45	29	37	67	8	63	48	43	12	11	99	58	28	50	12
RP24-75K5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-201E13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbf4	54	74	301	118	50	39	52	234	150	32	162	67	181	320	105
Slc25a40	262	338	578	519	261	384	233	645	644	130	300	287	331	359	260
Rundc3b	4	43	80	149	212	63	10	179	108	207	125	195	35	55	92
RP24-159A20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb1a	142	170	272	102	96	248	709	1231	1480	618	1048	1603	259	305	1086
RP24-223N5.1	13	0	0	0	0	0	10	15	8	1	0	0	3	0	0
RP23-162P5.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP23-162P5.2	43	26	94	36	27	12	25	46	32	30	4	32	24	57	25
Abcb1b	652	541	1282	525	440	313	973	977	869	169	385	113	761	786	208
RP23-338P12.2	0	1	0	0	0	0	3	0	0	0	6	0	0	0	0
Abcb4	3	8	2	7	0	61	0	59	192	1	38	26	0	41	1
RP23-338P12.3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Crot	412	1192	1366	2910	2269	3746	3890	6508	5805	2488	11305	7782	947	1659	3690
AC107763.2	28	7	17	12	23	22	20	7	19	6	24	18	11	16	2
RP23-180F3.2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Gm27941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107763.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-180F3.5	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0
Tmem243	404	128	485	333	233	173	143	254	187	161	294	142	68	75	146
Dmtf1	143	214	213	1249	958	1101	97	640	427	132	420	560	156	110	192
Gm24666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC158121.2	2	2	2	0	0	0	0	1	2	0	0	0	2	3	1
AC158121.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC157555.1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
AC157783.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Mir879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grm3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-118C7.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm23312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-193N17.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP23-193C5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-193C5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-193C5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6J21.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP23-6J21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-6J21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-412L2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-397H7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-383C4.1	8	20	19	17	9	12	9	6	14	12	7	9	14	5	16
RP23-281K10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-281K10.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-281K10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-113C21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-113C21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-307D8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-307D8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-307D8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-79B1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
RP23-307D8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-79B1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-307D8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-92D22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-92D22.3	3	2	0	0	3	1	2	0	4	0	1	1	0	1	1
RP23-307D8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-92D22.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP23-307D8.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-79B1.1	0	0	2	0	0	0	6	2	0	0	0	1	1	0	0
RP24-79B1.4	0	2	0	0	0	1	2	1	1	0	0	0	0	0	0
RP23-307D8.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
RP24-390F5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP23-307D8.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-299O17.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP23-299O17.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP23-299O17.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP23-307D8.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-299O17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-299O17.5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RP23-307D8.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-395E24.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RP23-395E24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-307D8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-395E24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-408K8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-395E24.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RP23-408K8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-408K8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP23-307D8.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-341O14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-341O14.4	0	0	0	2	0	2	2	1	2	0	0	0	1	2	0
RP23-307D8.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-341O14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-341O14.3	0	2	1	1	1	2	1	1	1	0	1	0	2	1	0
RP24-235L14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-235L14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-235L14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-364E18.2	2	2	2	6	5	3	2	5	5	1	0	0	0	1	0
Sema3d	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
RP23-237H9.3	6	2	11	6	13	10	6	5	13	3	12	13	5	11	1
RP23-237H9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-346C14.1	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0
Gm23243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-30B3.1	53	34	49	21	13	11	21	20	27	25	40	27	72	72	43
RP23-30B3.2	0	2	0	0	0	0	1	3	0	1	0	1	5	6	0
RP23-30B3.3	5	5	6	0	2	0	2	1	0	1	1	4	3	8	1
Sema3a	0	1	0	0	0	43	0	0	0	0	0	0	0	0	0
RP23-30B3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-10F17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-10F17.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP23-10F17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-192D21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-192D21.2	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
RP24-405C17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-405C17.4	5	8	10	7	0	10	4	8	7	3	3	1	4	8	5
RP24-405C17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-405C17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-405C17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-405C17.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnd1-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema3e	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0
RP24-194J1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC118747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-481P22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pclo	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
RP24-196P19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342M4.2	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0
RP23-342M4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342M4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342M4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342M4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342M4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-342M4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-451C1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-451C1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC144480.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Speer4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-239L21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-449D6.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP24-152F23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-152F23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-152F23.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-152F23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-465P18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-152F23.5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Speer4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC117685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4cos	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Speer4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-77E18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-77E18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-77E18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-77E18.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP23-77E18.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-123P10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacna2d1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	1
RP23-123P10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-220P21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-372A2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-539G2.1	7	5	16	5	2	2	2	4	9	2	5	9	14	15	1
Hgf	0	23	0	0	0	0	0	15	19	0	1	0	2	17	0
RP24-295A5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
RP24-295A5.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RP24-388A6.2	1	3	0	0	0	0	1	1	1	1	0	0	1	2	9
RP24-388A6.3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
RP24-388A6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-363D4.1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
RP23-52A2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-76L18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4f1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-76L18.2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Sema3c	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cd36	0	392	0	57	37	18	0	180	59	0	399	5	314	102	232
Gnat3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnai1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
RP24-302O2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-459D3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-332E15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-350E1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-350E1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-350E1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magi2	0	0	0	6	0	0	1	0	0	0	10	1	11	1	3
RP24-388K6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25335	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm23570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-531D1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-281M20.1	0	1	0	2	0	1	3	0	0	0	1	2	6	1	0
RP23-343F16.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
RP23-343F16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phtf2	25	349	122	314	239	339	23	99	56	0	247	178	124	242	148
Rpl31-ps5	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Tmem60	1794	922	2062	1559	1939	1115	1353	1325	1432	1138	2259	1647	1034	1091	864
Rsbn1l	10	29	15	57	66	81	25	79	63	22	72	24	11	10	24
RP24-300D7.1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0
Ptpn12	21	38	82	333	107	275	63	81	241	53	345	138	114	107	155
RP23-234P16.4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm22490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl31-ps21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-234P16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-234P16.3	0	2	0	0	0	0	0	0	0	0	1	0	0	11	0
Gsap	1462	4269	2064	479	159	136	3140	3676	3314	3591	4445	2896	1887	2587	4167
RP23-250D22.2	4	4	9	0	0	8	24	13	0	0	5	24	0	0	7
RP23-250D22.3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
Ccdc146	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Fgl2	602	1854	370	2	41	41	1645	3421	2931	4559	10529	8847	1952	2084	5934
Fam185a	135	81	43	13	2	9	74	17	44	28	5	71	98	302	143
Fbxl13	0	10	0	0	0	0	0	14	0	0	0	0	0	12	1
Lrrc17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
RP23-6C10.3	20	10	18	10	21	9	7	5	18	6	9	12	9	4	6
